sentence_id	source	text
1	[ITviec] AI Software Engineer - MB Bank	Thành thạo ít nhất 1 ngôn ngữ Backend: Ưu tiên Python, Go, C/C++
2	[ITviec] AI Software Engineer - MB Bank	Phát triển các dịch vụ AI dưới dạng Microservices (FastAPI/Flask/Django hoặc Java/Go services).
3	[ITviec] AI Software Engineer - MB Bank	Triển khai hệ thống AI production-ready với Docker/Kubernetes.
4	[ITviec] AI Software Engineer - MB Bank	Thành thạo một trong các hệ quản trị cơ sở dữ liệu: PostgreSQL, MongoDB...
5	[ITviec] AI Software Engineer - MB Bank	Hiểu rõ API design (RESTful/gRPC), bảo mật và tối ưu hiệu năng hệ thống.
6	[ITviec] AI Software Engineer - MB Bank	Thành thạo Git/GitFlow
7	[ITviec] AI Software Engineer - MB Bank	Có kinh nghiệm với: LLM Agents (GPT, Gemini, Claude...), LangChain / LangGraph/ ADK, Autogen, RAG pipelines, Vector Database(Milvus, pgvector...).
8	[ITviec] AI Software Engineer - MB Bank	Có kiến thức, Kỹ thuật xử lý dữ liệu: NLP, Computer Vision, Speech, Video Understanding
9	[ITviec] AI Software Engineer - MB Bank	Hiểu biết kiến trúc mô hình: CNN, RNN, Transformer, Attention, GNN…
10	[ITviec] Agentic Engineer - MB Bank	Thiết kế và phát triển các hệ thống Backend tích hợp AI/LLM Agents.
11	[ITviec] Agentic Engineer - MB Bank	Xây dựng các Agentic Workflow, A: Planning – Tool Use – Memory – Execution.
12	[ITviec] Agentic Engineer - MB Bank	Tích hợp các mô hình AI vào hệ thống sản phẩm qua REST/gRPC APIs.
13	[ITviec] Agentic Engineer - MB Bank	Nghiên cứu và ứng dụng các kỹ thuật mới: RAG, Function Calling, Multi-agent systems, Reinforcement Learning Agents.
14	[ITviec] Agentic Engineer - MB Bank	Có kinh nghiệm thiết kế hệ thống Microservice Architecture.
15	[ITviec] Agentic Engineer - MB Bank	Thành thạo một trong các hệ quản trị cơ sở dữ liệu:PostgreSQL, MongoDB...
16	[ITviec] Agentic Engineer - MB Bank	Có kinh nghiệm với: LLM Agents (GPT, Gemini, Claude...), LangChain / LangGraph/ ADK, Autogen, RAG pipelines, Vector Database(Milvus, pgvector...). Tool-use Agents (Function Calling), Memory + Planning + Multi-step reasoning systems
17	[ITviec] Agentic Engineer - MB Bank	Có kinh nghiệm: Docker, Kubernetes...
18	[ITviec] Agentic Engineer - MB Bank	Hiểu biết về AI Safety, Guardrails, Model Monitoring.
19	[ITviec] Agentic Engineer - MB Bank	Có kiến thức, Kỹ thuật xử lý dữ liệu:NLP, Computer Vision, Speech, Video Understanding
20	[TopCV] Chuyên Viên IT - Lập Trình & Phát Triển Phần Mềm Nội Bộ - Công ty cổ phần An Pha Kim	Phát triển, xây dựng và cải tiến các phần mềm/ứng dụng nội bộ phục vụ hoạt động của Công ty.
21	[TopCV] Chuyên Viên IT - Lập Trình & Phát Triển Phần Mềm Nội Bộ - Công ty cổ phần An Pha Kim	Quản lý, vận hành và tối ưu các phần mềm, hệ thống hiện có.
22	[TopCV] Chuyên Viên IT - Lập Trình & Phát Triển Phần Mềm Nội Bộ - Công ty cổ phần An Pha Kim	Phân tích nhu cầu từ các phòng ban, đề xuất giải pháp công nghệ phù hợp nhằm tự động hóa và nâng cao hiệu quả công việc.
23	[TopCV] Chuyên Viên IT - Lập Trình & Phát Triển Phần Mềm Nội Bộ - Công ty cổ phần An Pha Kim	Tham gia thiết kế, phát triển, kiểm thử và triển khai các tính năng mới.
24	[TopCV] Chuyên Viên IT - Lập Trình & Phát Triển Phần Mềm Nội Bộ - Công ty cổ phần An Pha Kim	Xử lý, khắc phục các lỗi phát sinh liên quan đến phần mềm và hệ thống.
25	[TopCV] Chuyên Viên IT - Lập Trình & Phát Triển Phần Mềm Nội Bộ - Công ty cổ phần An Pha Kim	Quản lý dữ liệu, phân quyền người dùng và đảm bảo tính ổn định, bảo mật của hệ thống.
26	[TopCV] Chuyên Viên IT - Lập Trình & Phát Triển Phần Mềm Nội Bộ - Công ty cổ phần An Pha Kim	Phối hợp với các phòng/ban để tiếp nhận yêu cầu, hướng dẫn sử dụng và cải tiến phần mềm theo nhu cầu thực tế.
27	[TopCV] Chuyên Viên IT - Lập Trình & Phát Triển Phần Mềm Nội Bộ - Công ty cổ phần An Pha Kim	Chủ động nghiên cứu, đề xuất các giải pháp công nghệ mới nhằm nâng cao hiệu suất quản lý và vận hành.
28	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	Phát triển và vận hành hệ thống báo cáo, rà soát & tối ưu các báo cáo theo yêu cầu;
29	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	Xây dựng Data Mart đáp ứng các bài toán dữ liệu;
30	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	Phân tích dữ liệu liên quan đến chất lượng sản phẩm nội bộ, từ đó đưa ra các insight và đề xuất các phương án nâng cao chất lượng sản phẩm;
31	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	Theo dõi và đảm bảo tính chính xác, nhất quán của dữ liệu dùng trong báo cáo và hệ thống;
32	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	Phối hợp với các bộ phận nghiệp vụ (sản phẩm, vận hành...) để khai thác và tối ưu dữ liệu.
33	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	SQL & Cơ sở dữ liệu: Thành thạo truy vấn, tổng hợp, xử lý dữ liệu, tối ưu hóa dữ liệu phân tán;
34	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	Xử lý Dữ liệu Real-time & CDC: Am hiểu và có kinh nghiệm làm việc với dữ liệu CDC;
35	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	Lập trình & ETL Pipeline: Sử dụng Python, dbt và Apache Airflow để xây dựng, tự động hóa và quản lý các luồng xử lý/biến đổi dữ liệu;
36	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	Bảo mật & Quy trình: Nắm vững quy trình phân tích, làm sạch, kiểm thử dữ liệu, bảo mật dữ liệu nhạy cảm (PII/Sensitive Data);
37	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	Trực quan hóa: Thành thạo Power BI, Excel nâng cao;
38	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	Tư duy: Có tư duy phản biện, kỹ năng giải quyết vấn đề và kết nối tốt với các phòng ban liên quan, khả năng làm việc độc lập cao;
39	[TopCV] Data Analyst (Domain Logistics) - CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM	Domain E-logistics: Có kiến thức/hiểu biết về mảng E-logistics (chuỗi cung ứng thương mại điện tử, chặng cuối, kho bãi), am hiểu thuật toán tối ưu quãng đường, chi phí là một lợi thế;
40	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Tham gia tài liệu hóa API, luồng xử lý và các giải pháp kỹ thuật cần thiết để hỗ trợ vận hành, bảo trì và phát triển sản phẩm lâu dài.
41	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Theo dõi và tối ưu hiệu năng, độ ổn định, khả năng mở rộng của Backend; chủ động phát hiện các điểm nghẽn và đề xuất cải tiến.
42	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Tham gia nghiên cứu, tích hợp và phát triển các tính năng sử dụng AI/LLM API; đảm bảo việc tích hợp phù hợp với yêu cầu sản phẩm và tiêu chuẩn kỹ thuật.
43	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Phối hợp chặt chẽ với Frontend, QA, DevOps, Product/BA trong quá trình phát triển, tích hợp, kiểm thử và đưa tính năng vào vận hành.
44	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Tích hợp và sử dụng các thành phần như Redis, Message Broker, Docker nhằm hỗ trợ caching, xử lý bất đồng bộ, tích hợp service và triển khai hệ thống.
