sentence_id	token_id	token	label
1	1	Thành	O
1	2	thạo	O
1	3	ít	O
1	4	nhất	O
1	5	1	O
1	6	ngôn	O
1	7	ngữ	O
1	8	Backend	O
1	9	:	O
1	10	Ưu	O
1	11	tiên	O
1	12	Python	B-SKILL
1	13	,	O
1	14	Go	B-SKILL
1	15	,	O
1	16	C	B-SKILL
1	17	/	O
1	18	C	B-SKILL
1	19	++	I-SKILL
2	1	Phát	O
2	2	triển	O
2	3	các	O
2	4	dịch	O
2	5	vụ	O
2	6	AI	O
2	7	dưới	O
2	8	dạng	O
2	9	Microservices	O
2	10	(	O
2	11	FastAPI	B-SKILL
2	12	/	O
2	13	Flask	B-SKILL
2	14	/	O
2	15	Django	B-SKILL
2	16	hoặc	O
2	17	Java	B-SKILL
2	18	/	O
2	19	Go	B-SKILL
2	20	services	O
2	21	).	O
3	1	Triển	O
3	2	khai	O
3	3	hệ	O
3	4	thống	O
3	5	AI	O
3	6	production	O
3	7	-	O
3	8	ready	O
3	9	với	O
3	10	Docker	B-SKILL
3	11	/	O
3	12	Kubernetes	B-SKILL
3	13	.	O
4	1	Thành	O
4	2	thạo	O
4	3	một	O
4	4	trong	O
4	5	các	O
4	6	hệ	O
4	7	quản	O
4	8	trị	O
4	9	cơ	O
4	10	sở	O
4	11	dữ	O
4	12	liệu	O
4	13	:	O
4	14	PostgreSQL	B-SKILL
4	15	,	O
4	16	MongoDB	B-SKILL
4	17	...	O
5	1	Hiểu	O
5	2	rõ	O
5	3	API	O
5	4	design	O
5	5	(	O
5	6	RESTful	B-SKILL
5	7	/	O
5	8	gRPC	B-SKILL
5	9	),	O
5	10	bảo	O
5	11	mật	O
5	12	và	O
5	13	tối	O
5	14	ưu	O
5	15	hiệu	O
5	16	năng	O
5	17	hệ	O
5	18	thống	O
5	19	.	O
6	1	Thành	O
6	2	thạo	O
6	3	Git	B-SKILL
6	4	/	O
6	5	GitFlow	B-SKILL
7	1	Có	O
7	2	kinh	O
7	3	nghiệm	O
7	4	với	O
7	5	:	O
7	6	LLM	B-SKILL
7	7	Agents	B-SKILL
7	8	(	O
7	9	GPT	B-SKILL
7	10	,	O
7	11	Gemini	B-SKILL
7	12	,	O
7	13	Claude	B-SKILL
7	14	...),	O
7	15	LangChain	B-SKILL
7	16	/	O
7	17	LangGraph	B-SKILL
7	18	/	O
7	19	ADK	B-SKILL
7	20	,	O
7	21	Autogen	B-SKILL
7	22	,	O
7	23	RAG	B-SKILL
7	24	pipelines	O
7	25	,	O
7	26	Vector	B-SKILL
7	27	Database	I-SKILL
7	28	(	O
7	29	Milvus	B-SKILL
7	30	,	O
7	31	pgvector	B-SKILL
7	32	...).	O
8	1	Có	O
8	2	kiến	O
8	3	thức	O
8	4	,	O
8	5	Kỹ	O
8	6	thuật	O
8	7	xử	O
8	8	lý	O
8	9	dữ	O
8	10	liệu	O
8	11	:	O
8	12	NLP	B-SKILL
8	13	,	O
8	14	Computer	B-SKILL
8	15	Vision	I-SKILL
8	16	,	O
8	17	Speech	B-SKILL
8	18	,	O
8	19	Video	B-SKILL
8	20	Understanding	I-SKILL
9	1	Hiểu	O
9	2	biết	O
9	3	kiến	O
9	4	trúc	O
9	5	mô	O
9	6	hình	O
9	7	:	O
9	8	CNN	B-SKILL
9	9	,	O
9	10	RNN	B-SKILL
9	11	,	O
9	12	Transformer	B-SKILL
9	13	,	O
9	14	Attention	B-SKILL
9	15	,	O
9	16	GNN	B-SKILL
9	17	…	O
10	1	Thiết	O
10	2	kế	O
10	3	và	O
10	4	phát	O
10	5	triển	O
10	6	các	O
10	7	hệ	O
10	8	thống	O
10	9	Backend	O
10	10	tích	O
10	11	hợp	O
10	12	AI	O
10	13	/	O
10	14	LLM	B-SKILL
10	15	Agents	I-SKILL
10	16	.	O
11	1	Xây	O
11	2	dựng	O
11	3	các	O
11	4	Agentic	O
11	5	Workflow	O
11	6	,	O
11	7	A	O
11	8	:	O
11	9	Planning	O
11	10	–	O
11	11	Tool	O
11	12	Use	O
11	13	–	O
11	14	Memory	O
11	15	–	O
11	16	Execution	O
11	17	.	O
12	1	Tích	O
12	2	hợp	O
12	3	các	O
12	4	mô	O
12	5	hình	O
12	6	AI	O
12	7	vào	O
12	8	hệ	O
12	9	thống	O
12	10	sản	O
12	11	phẩm	O
12	12	qua	O
12	13	REST	B-SKILL
12	14	/	O
12	15	gRPC	B-SKILL
12	16	APIs	O
12	17	.	O
13	1	Nghiên	O
13	2	cứu	O
13	3	và	O
13	4	ứng	O
13	5	dụng	O
13	6	các	O
13	7	kỹ	O
13	8	thuật	O
13	9	mới	O
13	10	:	O
13	11	RAG	B-SKILL
13	12	,	O
13	13	Function	B-SKILL
13	14	Calling	I-SKILL
13	15	,	O
13	16	Multi	B-SKILL
13	17	-	I-SKILL 
13	18	agent	I-SKILL
13	19	systems	I-SKILL
13	20	,	O
13	21	Reinforcement	B-SKILL
13	22	Learning	I-SKILL
13	23	Agents	I-SKILL
13	24	.	O
14	1	Có	O
14	2	kinh	O
14	3	nghiệm	O
14	4	thiết	O
14	5	kế	O
14	6	hệ	O
14	7	thống	O
14	8	Microservice	B-SKILL
14	9	Architecture	I-SKILL
14	10	.	O
15	1	Thành	O
15	2	thạo	O
15	3	một	O
15	4	trong	O
15	5	các	O
15	6	hệ	O
15	7	quản	O
15	8	trị	O
15	9	cơ	O
15	10	sở	O
15	11	dữ	O
15	12	liệu	O
15	13	:	O
15	14	PostgreSQL	B-SKILL
15	15	,	O
15	16	MongoDB	B-SKILL
15	17	...	O
16	1	Có	O
16	2	kinh	O
16	3	nghiệm	O
16	4	với	O
16	5	:	O
16	6	LLM	B-SKILL
16	7	Agents	I-SKILL
16	8	(	O
16	9	GPT	B-SKILL
16	10	,	O
16	11	Gemini	B-SKILL
16	12	,	O
16	13	Claude	B-SKILL
16	14	...),	O
16	15	LangChain	B-SKILL
16	16	/	O
16	17	LangGraph	B-SKILL
16	18	/	O
16	19	ADK	B-SKILL
16	20	,	O
16	21	Autogen	B-SKILL
16	22	,	O
16	23	RAG	B-SKILL
16	24	pipelines	O
16	25	,	O
16	26	Vector	B-SKILL
16	27	Database	I-SKILL
16	28	(	O
16	29	Milvus	B-SKILL
16	30	,	O
16	31	pgvector	B-SKILL
16	32	...).	O
16	33	Tool	O
16	34	-	O
16	35	use	O
16	36	Agents	B-SKILL
16	37	(	O
16	38	Function	B-SKILL
16	39	Calling	I-SKILL
16	40	),	O
16	41	Memory	O
16	42	+	O
16	43	Planning	O
16	44	+	O
16	45	Multi	O
16	46	-	O
16	47	step	O
16	48	reasoning	O
16	49	systems	O
17	1	Có	O
17	2	kinh	O
17	3	nghiệm	O
17	4	:	O
17	5	Docker	B-SKILL
17	6	,	O
17	7	Kubernetes	B-SKILL
17	8	...	O
18	1	Hiểu	O
18	2	biết	O
18	3	về	O
18	4	AI	B-SKILL
18	5	Safety	I-SKILL
18	6	,	O
18	7	Guardrails	B-SKILL
18	8	,	O
18	9	Model	B-SKILL
18	10	Monitoring	I-SKILL
18	11	.	O
19	1	Có	O
19	2	kiến	O
19	3	thức	O
19	4	,	O
19	5	Kỹ	O
19	6	thuật	O
19	7	xử	O
19	8	lý	O
19	9	dữ	O
19	10	liệu	O
19	11	:	O
19	12	NLP	B-SKILL
19	13	,	O
19	14	Computer	B-SKILL
19	15	Vision	I-SKILL
19	16	,	O
19	17	Speech	B-SKILL
19	18	,	O
19	19	Video	B-SKILL
19	20	Understanding	I-SKILL
20	1	Phát	O
20	2	triển	O
20	3	,	O
20	4	xây	O
20	5	dựng	O
20	6	và	O
20	7	cải	O
20	8	tiến	O
20	9	các	O
20	10	phần	O
20	11	mềm	O
20	12	/	O
20	13	ứng	O
20	14	dụng	O
20	15	nội	O
20	16	bộ	O
20	17	phục	O
20	18	vụ	O
20	19	hoạt	O
20	20	động	O
20	21	của	O
20	22	Công	O
20	23	ty	O
20	24	.	O
21	1	Quản	O
21	2	lý	O
21	3	,	O
21	4	vận	O
21	5	hành	O
21	6	và	O
21	7	tối	O
21	8	ưu	O
21	9	các	O
21	10	phần	O
21	11	mềm	O
21	12	,	O
21	13	hệ	O
21	14	thống	O
21	15	hiện	O
21	16	có	O
21	17	.	O
22	1	Phân	O
22	2	tích	O
22	3	nhu	O
22	4	cầu	O
22	5	từ	O
22	6	các	O
22	7	phòng	O
22	8	ban	O
22	9	,	O
22	10	đề	O
22	11	xuất	O
22	12	giải	O
22	13	pháp	O
22	14	công	O
22	15	nghệ	O
22	16	phù	O
22	17	hợp	O
22	18	nhằm	O
22	19	tự	O
22	20	động	O
22	21	hóa	O
22	22	và	O
22	23	nâng	O
22	24	cao	O
22	25	hiệu	O
22	26	quả	O
22	27	công	O
22	28	việc	O
22	29	.	O
23	1	Tham	O
23	2	gia	O
23	3	thiết	O
23	4	kế	O
23	5	,	O
23	6	phát	O
23	7	triển	O
23	8	,	O
23	9	kiểm	O
23	10	thử	O
23	11	và	O
23	12	triển	O
23	13	khai	O
23	14	các	O
23	15	tính	O
23	16	năng	O
23	17	mới	O
23	18	.	O
24	1	Xử	O
24	2	lý	O
24	3	,	O
24	4	khắc	O
24	5	phục	O
24	6	các	O
24	7	lỗi	O
24	8	phát	O
24	9	sinh	O
24	10	liên	O
24	11	quan	O
24	12	đến	O
24	13	phần	O
24	14	mềm	O
24	15	và	O
24	16	hệ	O
24	17	thống	O
24	18	.	O
25	1	Quản	O
25	2	lý	O
25	3	dữ	O
25	4	liệu	O
25	5	,	O
25	6	phân	O
25	7	quyền	O
25	8	người	O
25	9	dùng	O
25	10	và	O
25	11	đảm	O
25	12	bảo	O
25	13	tính	O
25	14	ổn	O
25	15	định	O
25	16	,	O
25	17	bảo	O
25	18	mật	O
25	19	của	O
25	20	hệ	O
25	21	thống	O
25	22	.	O
26	1	Phối	O
26	2	hợp	O
26	3	với	O
26	4	các	O
26	5	phòng	O
26	6	/	O
26	7	ban	O
26	8	để	O
26	9	tiếp	O
26	10	nhận	O
26	11	yêu	O
26	12	cầu	O
26	13	,	O
26	14	hướng	O
26	15	dẫn	O
26	16	sử	O
26	17	dụng	O
26	18	và	O
26	19	cải	O
26	20	tiến	O
26	21	phần	O
26	22	mềm	O
26	23	theo	O
26	24	nhu	O
